URL	File Path	GAHEOS MD5	Analyzed MD5	RESULT	SIMILARITY	SERVER DATE	SERVER LAST MODIFIED
https://octupustech.com	match_event/static/src/img/Logo Pilsener.png	e6b451cb946b4229280b13adbe7b18f1	e6b451cb946b4229280b13adbe7b18f1	Identico	1.0	Thu, 16 Mar 2023 15:22:14 GMT	Fri, 03 Mar 2023 06:09:50 GMT
https://octupustech.com	match_event/static/src/img/Liga Profesional de F£tbol del Ecuador.png	ad38b8de48811bbc4a4a909cb7f62a7d	ad38b8de48811bbc4a4a909cb7f62a7d	Identico	1.0	Thu, 16 Mar 2023 15:22:15 GMT	Fri, 03 Mar 2023 06:09:50 GMT
https://octupustech.com	theme_ligapro_insti/static/src/css/style.css	a5283fba62c68abd81f5bf449e13de6f	a5283fba62c68abd81f5bf449e13de6f	Identico	1.0	Thu, 16 Mar 2023 15:22:16 GMT	Fri, 03 Mar 2023 06:09:50 GMT
https://octupustech.com	payment_paymentez/static/src/js/paymentez.js	1a93eabfa282a8759ef08b0271f4c01f	1a93eabfa282a8759ef08b0271f4c01f	Identico	1.0	Thu, 16 Mar 2023 15:22:16 GMT	Fri, 03 Mar 2023 06:09:29 GMT
https://octupustech.com	payment_paymentez/static/src/js/payment_form.js	f9bbd0bf1f82a332ff7b6e729b77b98b	f9bbd0bf1f82a332ff7b6e729b77b98b	Identico	1.0	Thu, 16 Mar 2023 15:22:16 GMT	Fri, 03 Mar 2023 06:09:29 GMT
https://octupustech.com	payment_paymentez/static/src/js/payment_processing.js	a0e59f623bd45122016ace6925b18458	a0e59f623bd45122016ace6925b18458	Identico	1.0	Thu, 16 Mar 2023 15:22:17 GMT	Fri, 03 Mar 2023 06:09:29 GMT
https://octupustech.com	payment_paymentez/static/src/js/paymentez_helper.js	17d216666a6bc87471fb0527483edc04	17d216666a6bc87471fb0527483edc04	Identico	1.0	Thu, 16 Mar 2023 15:22:17 GMT	Fri, 03 Mar 2023 06:09:29 GMT
https://octupustech.com	payment_paymentez/static/src/xml/paymentez.xml	93b4721f2f794912e47bcf346d9f1eb4	93b4721f2f794912e47bcf346d9f1eb4	Identico	1.0	Thu, 16 Mar 2023 15:22:17 GMT	Fri, 03 Mar 2023 06:09:29 GMT
https://octupustech.com	payment_paymentez/static/src/img/pagoefectivo.png	b209295d62d6f80a09dc54d921d8e725	b209295d62d6f80a09dc54d921d8e725	Identico	1.0	Thu, 16 Mar 2023 15:22:18 GMT	Fri, 03 Mar 2023 06:09:29 GMT
https://octupustech.com	payment_paymentez/static/src/img/paymentez-icon.png	cf68f2749a8b60b85c71e1a202c37438	cf68f2749a8b60b85c71e1a202c37438	Identico	1.0	Thu, 16 Mar 2023 15:22:18 GMT	Fri, 03 Mar 2023 06:09:29 GMT
https://octupustech.com	payment_dataweb/static/src/img/datafast-icon.png	3525963ea8e698d72614a1d8043e0540	3525963ea8e698d72614a1d8043e0540	Identico	1.0	Thu, 16 Mar 2023 15:22:21 GMT	Fri, 03 Mar 2023 06:09:29 GMT
https://octupustech.com	payment_enhanced/static/img/alia.png	f8d475a4da84d9a91670623e80a7d5b5	f8d475a4da84d9a91670623e80a7d5b5	Identico	1.0	Thu, 16 Mar 2023 15:22:56 GMT	Fri, 03 Mar 2023 06:09:29 GMT
https://octupustech.com	payment_enhanced/static/src/js/payment.js	90048739a76eeae42916d425ee65854e	90048739a76eeae42916d425ee65854e	Identico	1.0	Thu, 16 Mar 2023 15:22:57 GMT	Fri, 03 Mar 2023 06:09:29 GMT
https://octupustech.com	payment_enhanced/static/src/xml/payment.xml	ab53c33c65166c8419ee5309e64810d1	ab53c33c65166c8419ee5309e64810d1	Identico	1.0	Thu, 16 Mar 2023 15:22:57 GMT	Fri, 03 Mar 2023 06:09:29 GMT
https://octupustech.com	payment_placetopay/static/src/js/placetopay.js	4f3be6b3664b9d5473ba85e07da52dc2	4f3be6b3664b9d5473ba85e07da52dc2	Identico	1.0	Thu, 16 Mar 2023 15:22:57 GMT	Fri, 03 Mar 2023 06:09:29 GMT
https://octupustech.com	payment_placetopay/static/src/img/placetopay-logo.png	f5889b4a7e6be7e71947cf1b5787c8aa	f5889b4a7e6be7e71947cf1b5787c8aa	Identico	1.0	Thu, 16 Mar 2023 15:22:57 GMT	Fri, 03 Mar 2023 06:09:29 GMT
https://octupustech.com	payment_payphone/static/description/icon.png	bb7aeb981b94b83c34f46914f7bd2d53	bb7aeb981b94b83c34f46914f7bd2d53	Identico	1.0	Thu, 16 Mar 2023 15:22:58 GMT	Fri, 03 Mar 2023 06:09:29 GMT
https://octupustech.com	payment_payphone/static/src/js/payment_form.js	2cab93f41a2d34c4a4aad990cb39090c	2cab93f41a2d34c4a4aad990cb39090c	Identico	1.0	Thu, 16 Mar 2023 15:22:59 GMT	Fri, 03 Mar 2023 06:09:29 GMT
https://octupustech.com	payment_payphone/static/src/xml/assets.xml	6bf828274e021e53863678d14fa82c97	6bf828274e021e53863678d14fa82c97	Identico	1.0	Thu, 16 Mar 2023 15:22:59 GMT	Fri, 03 Mar 2023 06:09:29 GMT
